TYP,UNDERTYP,SKYDDSTYP_KOD,count
Bussparkering,Bussparkering,NR,39
Ramp,Ramp,NR,38
Information,Platsinformation,"N2000-SPA/SCI, NR",38
Övernattningsstuga,Övernattningsstuga,NR,38
Information,Broshyrer,NR,34
Tältplats,Tältplats,NR,34
Bro,Bro,N2000-SCI,34
Vindskydd,Vindskydd,"N2000-SPA/SCI, NR",31
Bro,Bro,NP,30
Trappa,Trappa,NR,30
Bro,Bro,N2000-SPA/SCI,28
Stängselgenomgång,Stängselgenomgång,NR,28
Eldstad,Eldstad,NVO,27
Övernattningsstuga,Övernattningsstuga,"N2000-SPA/SCI, NR",27
Rastskydd,Rastskydd,NR,26
Bro,Hängbro,"N2000-SPA/SCI, NR",26
Gömsle,Gömsle,NR,26
Tältplats,Tältplats,NP,26
Dass,Dass,NVO,25
Rastplats,Bänkbord,"N2000-SPA/SCI, NP",24
Utsiktstorn,Utsiktstorn,NR,24
Rastplats,Bord,"N2000-SCI, NR",24
Stängselgenomgång,Stängselgenomgång,"N2000-SCI, NR",24
Eldstad,Eldstad,"N2000-SPA/SCI, NP",23
Information,Områdesskyddsinformation,DVO,23
Bro,Hängbro,NR,23
Rastplats,Bord,"N2000-SPA/SCI, NR",22
Grind,Grind,"N2000-SCI, NR",21
Rastplats,Bänkbord,"N2000-SCI, NP",21
Bro,Bro,"N2000-SCI, NR",20
Koja,Koja,NR,20
Vindskydd,Vindskydd,<NULL>,19
Information,Information,NR,19
Information,Broshyrer,NP,18
Vindskydd,Vindskydd,NVO,17
Sopstation,Sopstation,NP,17
Bro,Hängbro,NP,17
Stätta,Stätta,"N2000-SCI, NR",16
Information,Områdesskyddsinformation,"N2000-SPA/SCI, NP",16
Fågeltorn,Fågeltorn,"N2000-SPA/SCI, NR",16
Soptunna,Soptunna,"N2000-SCI, NR",16
Stätta,Stätta,NVO,15
Lekplats,Lekplats,NR,15
Rastskydd,Rastskydd,"N2000-SPA/SCI, NR",15
Livboj,Livboj,NR,15
Information,Ledterminal,<NULL>,15
Brygga,Brygga,NP,14
Dass,Dass,"N2000-SPA/SCI, NP",14
Rastplats,Bänkbord,"N2000-SCI, N2000-SPA, NR",14
Raststuga,Raststuga,"N2000-SPA/SCI, NR",14
Café,Café,NR,14
Utsikt,Utsikt,"N2000-SCI, NR",14
Vadställe,Vadställe,<NULL>,14
Information,Områdesskyddsinformation,"NR, NVO",14
Brygga,Brygga,"N2000-SCI, NR",14
Informationsbyggnad,Informationsbyggnad,NR,14
Ankringsplats,Ankringsplats,NR,13
Soptunna,Soptunna,NP,13
Information,Karta,"N2000-SCI, NR",13
Bostad,Bostad,NP,13
Information,Områdesskyddsinformation,NM,13
Eldstad,Eldstad,"N2000-SCI, NP",13
Information,Platsinformation,"N2000-SPA/SCI, NP",13
Sopstation,Sopstation,NR,13
Vedförvaring/vedbod,Vedförvaring/vedbod,NP,12
Tak,Tak,NR,12
Vedförvaring/vedbod,Vedförvaring/vedbod,"N2000-SPA/SCI, NR",12
Information,Områdesskyddsinformation,"N2000-SCI, NP",12
Parkering,Parkering,<NULL>,11
Övernattningsstuga,Övernattningsstuga,"N2000-SPA/SCI, NP",11
Information,Okänd,"N2000-SCI, NR",11
Hamn,Hamn,NR,11
Raststuga,Raststuga,NP,11
Information,Områdesskyddsinformation,"N2000-SPA, NR",11
Information,Qr-kod,NR,11
Fågeltorn,Fågeltorn,"N2000-SCI, NR",11
Eldstad,Eldstad,"N2000-SPA, NR",10
Information,Områdesskyddsinformation,"N2000-SCI, N2000-SPA, NR",10
Naturum,Naturum,NR,10
Vedförvaring/vedbod,Vedförvaring/vedbod,"N2000-SCI, NR",10
Vindskydd,Vindskydd,"N2000-SPA/SCI, NP",10
Rastplats,Bord,NVO,10
Övernattningsstuga,Övernattningsstuga,NP,9
Raststuga,Raststuga,"N2000-SCI, NR",9
Information,Ledterminal,NP,9
Rastplats,Bänkbord,"NR, NR",8
Observationsplattform,Observationsplattform,"N2000-SPA/SCI, NR",8
Tältplats,Tältplats,"N2000-SPA/SCI, NR",8
Parkering,Parkering,"N2000-SCI, N2000-SPA, NR",8
Information,Okänd,NVO,8
Information,Information,NP,8
Badplats,Badplats,"N2000-SCI, NR",8
Parkering,Parkering,"NR, NVO",8
Ramp,Ramp,NP,8
Hållplats,Hållplats,"NR, NR",8
Trappa,Trappa,"N2000-SCI, NR",7
Utsikt,Utsikt,"N2000-SPA/SCI, NR",7
Fågeltorn,Fågeltorn,NP,7
Koja,Koja,"N2000-SCI, NR",7
Parkering,Parkering,"N2000-SPA/SCI, NP",7
Motorikbana,Motorikbana,NR,7
Rastplats,Bänk ,DVO,7
Rastskydd,Rastskydd,"N2000-SPA/SCI, NP",7
Bro,Hängbro,N2000-SCI,6
Eldstad,Eldstad,<NULL>,6
Dricksvatten,Brunn,NP,6
Parkering,Parkering,NM,6
Vedförvaring/vedbod,Vedförvaring/vedbod,"N2000-SPA/SCI, NP",6
Parkering för rörelsehindrade,Parkering för rörelsehindrade,"N2000-SCI, NR",6
Toalett,Toalett,"N2000-SCI, NR",6
Observationsplattform,Observationsplattform,NP,6
Parkering för rörelsehindrade,Parkering för rörelsehindrade,NP,6
Cykelparkering,Cykelparkering,NR,6
